day,CPT(km),CPT_temp(K),LRT(km),LRT_temp(K)
2000-12-01,17.404,194.85,15.022,199.65
2000-12-02,17.318,197.45,16.669,198.25
2000-12-03,18.126,195.65,15.113,201.65
2000-12-04,18.542,195.45,16.682,198.45
2000-12-05,18.553,194.05,16.226,195.85
2000-12-06,14.426,205.45,,
2000-12-07,17.859,193.85,17.11,194.65
2000-12-08,17.417,191.65,17.417,191.65
2000-12-09,18.156,188.25,16.59,195.85
2000-12-10,18.024,192.25,18.024,192.25
2000-12-11,18.469,194.45,16.256,197.05
2000-12-12,18.206,194.45,15.173,199.05
2000-12-13,17.218,191.85,17.218,191.85
2000-12-14,18.452,187.25,15.392,198.25
2000-12-15,18.62,192.4500030517578,18.62,192.4500030517578
2000-12-16,18.64,194.84999694824216,16.6,196.24999847412107
2000-12-17,16.61,197.65,,
2000-12-18,18.731,195.85,15.392,197.05
2000-12-19,17.546,195.45,17.546,195.45
2000-12-20,16.929,195.25,16.929,195.25
2000-12-21,18.435,194.45,16.86,196.25
2000-12-22,18.395,194.65,17.798,195.45
2000-12-23,17.337,194.65,,
2000-12-24,17.307,193.45,14.661,200.65
2000-12-25,18.63,195.05000152587888,16.59,197.05000152587888
2000-12-26,17.808,193.05,17.567,193.45
2000-12-27,17.793,193.05,17.793,193.05
2000-12-28,18.054,194.65,16.252,198.15
2000-12-29,18.482,190.65,15.871,194.05
2000-12-30,17.691,192.05,15.594,194.45
2000-12-31,16.215,192.25,16.215,192.25
2001-01-01,17.474,194.05000152587888,,
2001-01-02,17.977,193.85,14.9,202.45
2001-01-03,19.145,194.25,17.564,196.65
2001-01-04,17.766,195.25,17.766,195.25
2001-01-05,17.662,195.45,17.662,195.45
2001-01-06,18.269,194.45,16.54,195.85
2001-01-07,17.538,194.25,17.538,194.25
2001-01-08,18.83,197.25,16.312,197.85
2001-01-09,19.048,200.45,19.048,200.45
2001-01-10,17.827,197.05,16.866,198.45
2001-01-11,17.67,195.05000152587888,16.9,195.84999694824216
2001-01-12,16.94,194.05,16.94,194.05
2001-01-13,19.265,196.65,14.14,206.85
2001-01-14,17.546,195.85,17.546,195.85
2001-01-15,16.745,197.85,17.691,200.05
2001-01-16,17.314,195.45,13.618,207.05
2001-01-17,17.853,193.65,17.241,194.25
2001-01-18,17.927,193.05,17.927,193.05
2001-01-19,18.59,192.85,14.022,204.25
2001-01-20,17.422,195.05,15.258,195.85
2001-01-21,15.927,195.05,14.968,196.65
2001-01-22,18.715,197.64999999999998,14.83,198.64999999999998
2001-01-23,16.135,193.05,16.135,193.05
2001-01-24,16.668,194.4500030517578,16.668,194.4500030517578
2001-01-25,17.151,193.25,15.659,196.05
2001-01-26,16.993,192.65,15.458,195.25
2001-01-27,16.597,192.45,16.597,192.45
2001-01-28,17.277,192.45,15.805,193.85
2001-01-29,16.597,191.65,16.597,191.65
2001-01-30,17.219,190.05,15.58,194.85
2001-01-31,16.714,191.05,16.534,191.85
2001-02-01,16.989,189.25,16.989,189.25
2001-02-02,15.204,197.45,,
2001-02-03,17.371,189.05,16.649,190.25
2001-02-04,16.907,189.45,16.907,189.45
2001-02-05,16.939,190.65,16.525,190.85
2001-02-06,17.252,189.85,17.252,189.85
2001-02-07,17.163,192.25,16.657,193.05
2001-02-08,17.319,193.05,16.011,196.45
2001-02-09,17.378,191.25,17.378,191.25
2001-02-10,17.617,191.25,16.707,192.65
2001-02-11,17.007,192.65,16.488,192.85
2001-02-12,17.545,190.45,19.068,193.85
2001-02-13,17.328,192.05,16.524,193.25
2001-02-14,17.014,191.85,16.57,192.05
2001-02-15,17.919,192.85,16.852,193.65
2001-02-16,16.901,193.85,16.901,193.85
2001-02-17,17.645,195.05,16.156,196.85
2001-02-18,17.364,194.25,16.363,196.25
2001-02-19,17.838,194.25,16.513,196.05
2001-02-20,16.513,195.25,14.955,197.85
2001-02-21,17.824,195.05,14.601,200.05
2001-02-22,17.211,197.25,,
2001-02-23,18.352,196.45,14.637,203.15
2001-02-24,17.17,195.45,17.17,195.45
2001-02-25,17.967,195.45,15.954,198.85
2001-02-26,18.22,195.65,16.739,197.45
2001-02-27,,,,
2001-02-28,17.416,197.45,13.729,205.65
2001-03-01,17.447,198.85,13.719,203.65
2001-03-02,15.655,200.85,15.655,200.85
2001-03-04,15.531,198.05,15.531,198.05
2001-03-05,18.494,198.45,18.494,198.45
2001-03-06,16.785,198.25,16.785,198.25
2001-03-07,15.301,193.45,15.301,193.45
2001-03-08,15.929,194.85,,
2001-03-09,14.2,183.25,14.2,183.25
2001-03-10,14.19,186.45,,
2001-03-11,17.389,195.65,20.65,203.85
2001-03-12,17.945,195.45,17.508,195.85
2001-03-13,17.566,195.45,14.766,200.05
2001-03-14,17.561,193.05,17.561,193.05
2001-03-15,18.083,191.25,,
2001-03-16,17.231,194.25,15.934,196.65
2001-03-17,16.812,194.85,15.739,196.45
2001-03-18,17.402,194.05,,
2001-03-19,18.033,196.45,16.321,198.65
2001-03-20,15.909,196.25,15.909,196.25
2001-03-21,16.996,194.05,16.533,194.85
2001-03-22,17.997,194.45,15.735,197.05
2001-03-23,15.7,195.05,15.7,195.05
2001-03-24,16.967,194.05,16.6,194.45
2001-03-25,18.684,194.85,14.868,200.85
2001-03-26,17.081,196.25,15.071,199.25
2001-03-27,15.812,197.45,,
2001-03-28,16.878,196.65,15.707,197.65
2001-03-29,16.606,196.65,16.606,196.65
2001-03-30,,,,
2001-03-31,17.976,197.85,16.684,199.05
2001-04-01,16.926,199.25,,
2001-04-02,,,,
2001-04-03,17.651,198.05,16.56,198.85
2001-04-04,17.029,199.05,,
2001-04-05,,,,
2001-04-06,16.976,195.85,16.482,197.45
2001-04-07,17.715,195.85,17.715,195.85
2001-04-08,15.829,194.25,15.829,194.25
2001-04-09,17.404,195.25,15.949,195.65
2001-04-10,17.748,195.65,15.904,196.45
2001-04-11,16.56,194.05,16.56,194.05
2001-04-12,16.886,195.05,,
2001-04-13,17.689,195.25,13.884,207.45
2001-04-14,15.557,203.85,,
2001-04-15,,,,
2001-04-16,17.229,196.85,17.229,196.85
2001-04-17,17.747,197.05,16.472,200.85
2001-04-18,17.03,195.65,17.03,195.65
2001-04-19,,,,
2001-04-20,16.769,194.85,16.111,196.05
2001-04-21,,,,
2001-04-22,13.382,209.05,,
2001-04-23,,,,
2001-04-24,15.847,193.05,18.184,198.45
2001-04-25,17.63,194.25,17.63,194.25
2001-04-26,18.081,194.25,16.602,198.45
2001-04-27,,,,
2001-04-28,,,,
2001-04-29,17.316,192.65,17.316,192.65
2001-04-30,17.024,193.05,17.024,193.05
2001-05-01,14.648,204.85,,
2001-05-02,17.163,195.45,,
2001-05-03,16.867,198.05,,
2001-05-04,,,,
2001-05-05,,,,
2001-05-06,,,,
2001-05-07,,,,
2001-05-08,14.992,202.65,,
2001-05-09,,,,
2001-05-10,,,,
2001-05-11,,,,
2001-05-12,,,,
2001-05-13,,,,
2001-05-14,,,,
2001-05-15,13.659,205.85,13.659,205.85
2001-05-16,,,,
2001-05-17,,,,
2001-05-18,16.711,197.85,16.277,199.85
2001-05-19,16.757,198.45,16.462,198.85
2001-05-20,16.636,195.85,16.636,195.85
2001-05-21,17.579,195.85,17.395,196.05
2001-05-22,17.415,194.85,13.733,207.45
2001-05-23,17.262,197.85,17.262,197.85
2001-05-24,17.279,197.45,12.462,214.85
2001-05-25,17.867,200.05,17.867,200.05
2001-05-26,17.61,197.65,17.61,197.65
2001-05-27,18.187,200.65,10.84,227.85
2001-05-28,16.035,199.85,13.172,209.45
2001-05-29,14.0,212.65,,
2001-05-30,16.972,197.65,16.442,198.65
2001-05-31,16.946,196.45,15.567,198.25
2001-06-01,17.088,194.85,15.588,198.25
2001-06-02,16.999,192.85,15.757,197.25
2001-06-03,17.068,192.85,16.128,195.65
2001-06-04,16.436,194.85,15.344,199.05
2001-06-05,16.888,197.25,16.888,197.25
2001-06-06,16.53,197.85,15.667,198.65
2001-06-07,17.963,196.65,17.963,196.65
2001-06-08,16.46,198.85,15.015,200.85
2001-06-09,18.469,200.85,14.788,204.25
2001-06-10,17.312,200.65,15.409,203.45
2001-06-11,17.196,200.25,16.46,200.65
2001-06-12,16.644,200.25,15.433,205.25
2001-06-13,16.85,197.65,16.85,197.65
2001-06-14,16.723,199.05,12.456,213.25
2001-06-15,16.651,200.25,15.812,201.85
2001-06-16,16.982,199.65,16.095,201.05
2001-06-17,16.961,198.45,16.961,198.45
2001-06-18,17.279,193.85,15.843,199.85
2001-06-19,17.929,196.05,14.06,207.05
2001-06-20,17.277,197.45,16.013,202.45
2001-06-21,18.302,200.45,13.682,208.45
2001-06-22,16.923,199.65,16.923,199.65
2001-06-23,16.247,201.05,13.373,207.65
2001-06-24,16.44,202.7500061035156,16.44,202.7500061035156
2001-06-25,15.802,204.05,15.802,204.05
2001-06-26,16.738,202.45,13.486,207.45
2001-06-27,16.218,202.05,11.931,216.05
2001-06-28,16.052,200.45,16.052,200.45
2001-06-29,16.017,200.25,16.017,200.25
2001-06-30,15.82,203.65,16.698,203.65
2001-07-01,17.505,206.4500030517578,13.96,208.05000152587888
2001-07-02,16.4,204.4500030517578,,
2001-07-03,16.39,206.14999999999998,12.12,212.64999999999998
2001-07-04,17.45,207.84999694824216,,
2001-07-05,16.39,203.85,13.287,207.05
2001-07-06,16.39,202.45,13.241,205.45
2001-07-07,15.103,202.45,15.103,202.45
2001-07-08,18.676,203.85,14.05,206.25
2001-07-09,16.523,200.25,16.411,200.45
2001-07-10,16.847,197.85,16.307,199.05
2001-07-11,16.959,197.45,15.968,198.65
2001-07-12,14.471,202.15,,
2001-07-13,17.603,201.65,10.664,222.25
2001-07-14,16.46,200.64999999999998,16.46,200.64999999999998
2001-07-15,16.41,202.84999694824216,,
2001-07-16,15.504,202.45,17.155,202.45
2001-07-17,16.38,202.05,15.813,203.05
2001-07-18,16.44,201.14999999999998,16.45,201.4500030517578
2001-07-19,16.42,201.34999694824216,14.3,206.84999694824216
2001-07-20,16.435,200.64999999999998,16.42,197.64999999999998
2001-07-21,17.52,206.4500030517578,,
2001-07-22,16.42,201.34999694824216,,
2001-07-23,15.366,196.05,15.366,196.05
2001-07-24,,,,
2001-07-25,14.774,199.85,14.774,199.85
2001-07-26,16.587,199.05,14.533,200.65
2001-07-27,16.355,197.85,16.355,197.85
2001-07-31,16.411,201.85,14.907,203.45
2001-08-01,16.48,200.25,15.611,200.65
2001-08-02,17.108,198.85,14.342,201.25
2001-08-03,15.33,201.4500030517578,14.13,202.84999694824216
2001-08-04,16.357,198.65,16.357,198.65
2001-08-05,16.223,200.25,14.211,203.85
2001-08-06,16.994,199.25,16.994,199.25
2001-08-07,17.878,197.25,14.521,205.65
2001-08-08,17.623,200.25,16.125,203.55
2001-08-09,17.389,203.45,15.767,204.65
2001-08-10,17.686,201.85,15.305,204.65
2001-08-11,17.643,202.65,14.626,206.05
2001-08-12,17.603,204.25,14.935,208.65
2001-08-13,18.831,202.45,15.206,207.65
2001-08-14,18.296,200.85,12.492,214.45
2001-08-15,16.946,200.85,11.913,213.65
2001-08-16,17.008,202.05,17.008,202.05
2001-08-17,17.061,200.65,14.771,205.45
2001-08-18,15.892,200.65,15.892,200.65
2001-08-19,16.168,199.85,16.168,199.85
2001-08-20,15.744,201.05,15.744,201.05
2001-08-21,17.075,204.05,17.075,204.05
2001-08-22,17.97,207.45,12.369,212.65
2001-08-23,16.072,208.45,11.415,217.45
2001-08-24,17.38,206.45,12.13,217.25
2001-08-25,18.496,203.05,15.414,206.85
2001-08-26,17.852,202.45,15.456,205.45
2001-08-27,18.216,202.05,18.216,202.05
2001-08-28,17.188,201.65,12.472,214.05
2001-08-29,17.065,202.45,12.724,211.65
2001-08-30,18.172,202.45,13.17,215.95
2001-08-31,17.625,200.9500030517578,16.57,202.84999694824216
2001-09-01,17.454,201.05,15.631,204.45
2001-09-02,17.316,200.65,16.511,201.45
2001-09-03,18.925,200.65,16.462,203.25
2001-09-04,17.401,199.65,14.943,205.25
2001-09-05,16.85,199.65,16.85,199.65
2001-09-06,17.238,200.05,13.404,208.85
2001-09-07,16.612,201.85,13.84,208.05
2001-09-08,16.706,199.25,13.961,204.65
2001-09-09,17.262,199.25,17.262,199.25
2001-09-10,17.546,198.45,14.513,205.65
2001-09-11,17.014,200.85,14.345,204.25
2001-09-12,15.531,201.45,15.531,201.45
2001-09-13,13.473,206.45,13.473,206.45
2001-09-14,15.599,198.05,15.599,198.05
2001-09-15,16.5,200.65,15.728,201.45
2001-09-16,15.636,201.65,15.636,201.65
2001-09-17,17.16,202.05,13.29,215.05
2001-09-18,17.372,203.25,15.99,204.25
2001-09-19,16.46,203.85,14.52,206.85
2001-09-20,16.44,204.25,,
2001-09-21,13.931,202.25,13.931,202.25
2001-09-22,16.056,202.85,13.516,206.25
2001-09-23,16.305,201.45,14.772,206.45
2001-09-24,16.938,199.65,16.938,199.65
2001-09-25,16.765,201.65,13.557,205.65
2001-09-26,15.815,198.25,15.815,198.25
2001-09-27,15.785,197.45,15.785,197.45
2001-09-28,15.908,194.65,15.908,194.65
2001-09-29,15.765,196.65,15.765,196.65
2001-09-30,16.5,198.05,14.482,199.85
2001-10-01,15.452,201.05,13.962,202.45
2001-10-02,15.175,194.85,15.175,194.85
2001-10-03,16.853,203.05,14.08,207.85
2001-10-04,17.031,198.65,15.789,201.45
2001-10-05,15.891,200.25,15.891,200.25
2001-10-06,16.5,200.65,13.832,207.25
2001-10-08,16.51,198.85,14.12,202.85
2001-10-09,17.089,195.25,14.584,201.05
2001-10-10,16.935,200.25,15.259,201.85
2001-10-11,16.123,201.25,13.165,207.45
2001-10-12,17.63,202.65,13.165,208.25
2001-10-13,16.592,202.65,,
2001-10-14,15.809,201.65,13.762,208.65
2001-10-15,16.47,203.05,13.96,206.05
2001-10-16,18.305,201.85,12.46,213.25
2001-10-17,15.175,202.45,13.716,206.05
2001-10-18,17.599,202.85,14.816,204.85
2001-10-19,16.092,199.45,16.092,199.45
2001-10-20,16.28,199.45,15.238,202.85
2001-10-21,16.756,199.05,15.562,201.65
2001-10-22,16.313,198.25,16.313,198.25
2001-10-23,17.179,198.85,15.722,200.65
2001-10-24,17.413,199.45,17.166,199.85
2001-10-25,17.67,197.25,17.67,197.25
2001-10-26,17.999,199.65,16.49,202.85
2001-10-27,15.165,198.25,15.165,198.25
2001-10-28,15.428,196.85,15.428,196.85
2001-10-29,15.806,197.25,16.57,200.25
2001-10-30,17.075,196.85,17.075,196.85
2001-10-31,16.863,198.05,16.863,198.05
2001-11-01,16.211,201.65,16.211,201.65
2001-11-02,16.997,202.85,16.997,202.85
2001-11-03,16.371,203.05,,
2001-11-04,15.803,200.25,15.803,200.25
2001-11-05,16.042,197.25,16.042,197.25
2001-11-06,16.906,196.25,16.906,196.25
2001-11-07,16.916,196.05,16.916,196.05
2001-11-08,19.781,208.65,19.781,208.65
2001-11-09,16.845,194.65,15.796,196.85
2001-11-10,17.298,190.85,16.202,195.25
2001-11-11,16.57,196.4500030517578,16.57,196.4500030517578
2001-11-12,16.513,195.65,16.128,196.05
2001-11-13,17.585,199.05000152587888,17.585,199.05000152587888
2001-11-14,16.52,196.24999847412107,16.52,196.24999847412107
2001-11-15,16.333,192.45,16.333,192.45
2001-11-16,16.782,191.05,16.782,191.05
2001-11-17,16.56,194.65,16.336,194.85
2001-11-18,17.124,194.65,16.352,198.05
2001-11-19,17.612,194.65,17.612,194.65
2001-11-20,17.79,195.05,16.996,195.45
2001-11-21,17.748,198.45,16.407,199.45
2001-11-22,17.06,196.85,17.06,196.85
2001-11-23,16.428,198.45,13.671,209.85
2001-11-24,16.904,196.65,16.336,198.65
2001-11-25,17.896,194.25,16.873,194.65
2001-11-26,17.621,193.05,17.621,193.05
2001-11-27,17.781,193.25,16.497,194.45
2001-11-28,16.317,196.25,16.317,196.25
2001-11-29,,,,
2001-11-30,17.291,195.85,17.291,195.85
2001-12-01,16.565,199.14999999999998,16.57,197.84999694824216
2001-12-02,17.565,194.85,17.565,194.85
2001-12-03,17.527,195.05,17.527,195.05
2001-12-04,17.899,194.85,16.047,197.25
2001-12-05,17.138,195.25,16.255,195.65
2001-12-06,14.487,204.45,,
2001-12-07,15.978,199.75,,
2001-12-10,17.23,198.05,14.21,203.45
2001-12-11,16.797,197.65,16.797,197.65
2001-12-12,13.955,203.65,13.955,203.65
2001-12-13,14.384,205.05,,
2001-12-14,13.465,209.75,,
2001-12-15,16.958,197.15,,
2001-12-16,,,,
2001-12-17,17.666,195.85,16.791,197.45
2001-12-18,17.835,196.65,16.171,200.05
2001-12-19,17.36,194.25,16.34,199.85
2001-12-20,18.204,194.45,15.372,199.65
2001-12-21,17.72,195.45,15.617,197.65
2001-12-22,17.342,195.05,16.21,196.65
2001-12-23,17.781,194.85,15.554,197.25
2001-12-24,17.109,193.45,16.396,195.05
2001-12-25,16.496,195.45,16.496,195.45
2001-12-26,16.786,197.05,16.786,197.05
2001-12-27,17.896,196.05,16.996,197.05
2001-12-28,17.796,195.65,17.796,195.65
2001-12-29,18.095,195.05,14.728,202.65
2001-12-30,18.238,198.65,17.032,199.65
2001-12-31,17.526,193.65,,
2002-01-01,17.557,194.45,16.606,195.65
2002-01-02,18.08,194.45,16.342,198.25
2002-01-03,17.399,195.65,16.57,197.25
2002-01-04,17.864,197.25,16.53,201.05
2002-01-05,17.513,198.05,16.502,199.25
2002-01-06,18.388,196.45,17.385,196.65
2002-01-07,17.403,193.25,17.403,193.25
2002-01-08,17.069,192.85,17.069,192.85
2002-01-09,17.524,196.05,17.524,196.05
2002-01-10,18.176,195.45,13.873,207.65
2002-01-12,18.334,196.45,15.006,196.65
2002-01-13,18.408,192.85,17.579,193.05
2002-01-14,18.811,192.25,,
2002-01-15,17.056,193.65,16.634,194.45
2002-01-16,17.656,192.65,17.074,193.05
2002-01-17,18.032,192.45,17.318,193.05
2002-01-18,17.239,192.05,17.239,192.05
2002-01-19,17.145,192.05,17.145,192.05
2002-01-20,,,,
2002-01-21,17.607,194.05,16.59,194.65
2002-01-22,17.106,193.05,17.106,193.05
2002-01-23,16.995,192.65,14.151,204.05
2002-01-24,17.74,191.05,16.351,195.05
2002-01-25,18.005,190.85,18.005,190.85
2002-01-26,18.207,191.65,17.731,191.85
2002-01-27,17.389,192.25,16.882,192.85
2002-01-28,18.497,192.05,16.66,193.05
2002-01-29,,,,
2002-01-30,18.624,192.65,18.519,192.85
2002-01-31,17.794,192.05,16.054,195.65
2002-02-01,17.698,192.45,16.742,193.45
2002-02-02,16.397,193.65,16.397,193.65
2002-02-03,17.201,194.05,16.486,196.05
2002-02-04,17.648,199.05,16.52,202.45
2002-02-05,17.272,197.45,16.512,198.45
2002-02-06,16.661,195.65,16.661,195.65
2002-02-07,17.094,196.85,17.094,196.85
2002-02-08,16.992,195.85,14.467,202.85
2002-02-09,16.715,196.45,15.05,197.85
2002-02-10,16.137,198.65,16.137,198.65
2002-02-11,18.051,197.45,16.237,200.85
2002-02-12,17.734,195.65,13.82,208.85
2002-02-13,17.87,195.05,17.275,196.25
2002-02-14,,,,
2002-02-15,17.152,198.05,16.176,198.65
2002-02-16,16.374,195.45,16.374,195.45
2002-02-17,17.713,194.05,17.713,194.05
2002-02-18,14.893,203.05,,
2002-02-19,17.664,195.45,16.502,198.45
2002-02-20,17.859,197.85,15.085,199.65
2002-02-21,15.784,195.05,15.784,195.05
2002-02-22,17.219,191.25,17.219,191.25
2002-02-23,16.846,192.65,15.728,194.45
2002-02-24,16.791,195.25,16.791,195.25
2002-02-26,16.917,198.05,16.917,198.05
2002-02-27,15.216,203.55,,
2002-02-28,16.901,194.25,16.901,194.25
2002-03-01,18.49,194.85,16.955,195.45
2002-03-03,17.588,193.85,16.421,194.85
2002-03-04,17.39,194.45,16.532,197.85
2002-03-05,18.223,194.65,17.217,195.65
2002-03-06,16.975,195.25,16.507,195.45
2002-03-07,15.407,197.85,15.407,197.85
2002-03-08,,,,
2002-03-09,16.134,197.05,14.24,205.85
2002-03-10,17.162,192.85,,
2002-03-11,14.29,207.05,,
2002-03-12,18.678,193.85,17.578,195.45
2002-03-13,17.279,194.45,17.279,194.45
2002-03-14,18.438,193.85,16.944,195.65
2002-03-15,15.541,196.85,15.541,196.85
2002-03-16,17.261,194.45,14.939,198.85
2002-03-17,17.664,194.05,16.543,194.45
2002-03-18,15.408,199.65,,
2002-03-19,15.719,196.05,,
2002-03-20,16.489,191.45,16.489,191.45
2002-03-21,17.153,187.05,17.153,187.05
2002-03-22,17.261,191.85,17.261,191.85
2002-03-23,17.039,193.85,15.59,196.85
2002-03-24,15.435,197.25,,
2002-03-25,17.405,191.85,17.405,191.85
2002-03-26,16.311,194.45,16.311,194.45
2002-03-27,16.93,194.45,16.93,194.45
2002-03-28,16.57,195.05,15.623,196.25
2002-03-29,16.573,194.85,16.573,194.85
2002-03-30,17.806,194.05,16.424,196.45
2002-03-31,17.006,195.25,16.157,195.65
2002-04-01,16.65,193.85,,
2002-04-02,16.712,194.05,,
2002-04-03,17.441,191.25,17.441,191.25
2002-04-04,17.164,191.55,,
2002-04-05,17.671,192.45,17.671,192.45
2002-04-06,17.416,195.65,16.096,197.45
2002-04-07,19.215,196.65,15.617,200.45
2002-04-08,18.903,196.65,12.89,212.65
2002-04-09,,,,
2002-04-10,16.345,194.25,16.345,194.25
2002-04-11,16.504,191.85,16.504,191.85
2002-04-12,16.58,190.25,16.58,190.25
2002-04-13,16.657,190.25,16.535,190.45
2002-04-14,16.719,191.25,16.719,191.25
2002-04-15,17.705,193.05,15.974,195.45
2002-04-16,16.69,192.85,16.69,192.85
2002-04-18,17.088,193.85,17.088,193.85
2002-04-19,17.016,193.85,16.336,195.05
2002-04-20,17.131,192.65,16.447,194.65
2002-04-21,17.168,194.05,17.168,194.05
2002-04-22,17.028,195.25,17.028,195.25
2002-04-23,18.269,194.05,16.681,195.45
2002-04-24,17.471,193.85,15.935,194.85
2002-04-25,18.452,193.25,15.882,194.65
2002-04-26,17.443,191.65,16.052,195.25
2002-04-27,17.038,192.45,16.348,193.05
2002-04-28,17.609,192.05,17.609,192.05
2002-04-29,17.217,191.25,17.217,191.25
2002-04-30,17.01,193.45,17.01,193.45
2002-05-01,16.67,192.45,16.67,192.45
2002-05-02,17.314,194.85,15.723,197.05
2002-05-03,17.583,198.05,15.388,202.15
2002-05-04,17.538,194.45,17.538,194.45
2002-05-05,17.626,193.45,17.626,193.45
2002-05-06,17.189,193.45,13.837,204.85
2002-05-07,18.517,198.45,16.125,199.45
2002-05-08,18.07,197.85,14.273,203.85
2002-05-09,17.925,199.65,17.925,199.65
2002-05-10,17.744,199.65,17.744,199.65
2002-05-11,18.904,197.65,16.893,199.05
2002-05-12,17.358,199.65,15.145,202.25
2002-05-13,18.67,198.25,13.67,208.25
2002-05-14,18.318,196.65,13.201,210.85
2002-05-16,19.24,193.45,13.643,206.85
2002-05-17,17.236,197.85,14.814,203.25
2002-05-18,17.529,195.85,14.493,203.85
2002-05-19,17.761,195.85,14.283,203.65
2002-05-20,16.275,195.05,16.275,195.05
2002-05-21,16.039,198.65,16.039,198.65
2002-05-22,17.844,199.25,17.844,199.25
2002-05-23,17.157,201.45,17.157,201.45
2002-07-12,17.275,201.25,16.272,202.45
2002-07-13,18.833,204.85,,
2002-07-14,16.38,203.05,13.89,208.05
2002-07-16,17.22,201.65,17.22,201.65
2002-07-17,17.826,204.45,,
2002-07-18,14.05,202.45,18.359,207.55
2002-07-19,15.622,204.05,13.383,206.25
2002-07-20,16.645,203.85,14.617,205.05
2002-07-21,17.656,202.45,12.911,213.05
2002-07-23,14.16,212.25,,
2002-07-24,17.032,196.65,16.351,198.45
2002-07-25,16.107,196.25,16.107,196.25
2002-07-26,16.237,197.05,16.237,197.05
2002-07-27,15.363,199.05,15.363,199.05
2002-07-28,18.002,198.65,16.31,206.15
2002-07-29,16.14,202.25,16.14,202.25
2002-07-30,17.329,201.25,16.097,202.85
2002-07-31,14.605,202.45,14.605,202.45
2002-08-01,17.693,199.25,14.444,207.45
2002-08-02,18.524,200.05,12.879,211.85
2002-08-03,18.277,201.85,16.47,204.05
2002-08-04,17.154,197.25,15.241,204.55
2002-08-05,17.555,198.85,17.555,198.85
2002-08-06,17.093,199.25,16.49,199.85
2002-08-07,17.293,195.05,15.728,198.05
2002-08-08,17.484,196.85,16.313,197.45
2002-08-09,18.951,198.85,18.617,199.05
2002-08-10,16.162,200.05,11.27,219.05
2002-08-11,17.803,201.45,16.343,201.65
2002-08-12,17.492,198.25,16.152,201.05
2002-08-13,16.47,200.25,16.073,200.65
2002-08-14,17.831,198.25,16.165,199.25
2002-08-15,19.184,200.25,14.775,206.55
2002-08-16,17.713,199.45,13.678,211.25
2002-08-17,18.226,198.65,16.227,202.85
2002-08-18,16.402,200.05,16.402,200.05
2002-08-19,17.884,196.45,17.884,196.45
2002-08-20,18.246,196.85,13.115,210.25
2002-08-21,18.265,198.65,12.523,210.85
2002-08-22,18.344,200.05,14.926,203.25
2002-08-23,19.797,200.65,12.18,217.65
2002-08-24,19.265,201.45,15.723,205.25
2002-08-25,16.771,200.45,16.771,200.45
2002-08-26,17.897,198.25,16.699,199.25
2002-08-27,17.383,197.65,16.682,198.85
2002-08-28,16.422,196.85,16.422,196.85
2002-08-29,16.807,199.05,15.645,202.05
2002-08-30,17.255,199.45,16.431,202.05
2002-08-31,17.425,197.65,16.0,199.25
2002-09-01,15.742,199.65,15.742,199.65
2002-09-02,16.36,201.05,,
2002-09-03,14.473,202.45,14.473,202.45
2002-09-04,15.6,198.45,15.6,198.45
2002-09-05,16.47,199.05,16.076,199.45
2002-09-06,16.884,197.85,13.687,207.25
2002-09-07,16.314,199.85,12.22,213.45
2002-09-08,17.768,199.45,15.164,202.85
2002-09-09,17.209,199.65,16.229,200.25
2002-09-10,17.782,195.85,16.002,197.05
2002-09-11,16.48,198.05,15.819,199.05
2002-09-12,17.481,193.45,17.481,193.45
2002-09-13,16.808,197.65,13.98,204.25
2002-09-14,17.283,198.85,13.87,207.65
2002-09-15,17.058,197.65,16.604,198.25
2002-09-16,17.102,195.05,16.699,195.65
2002-09-17,16.859,193.85,15.666,198.05
2002-09-18,17.527,194.45,17.013,194.85
2002-09-19,17.1,192.65,15.894,193.25
2002-09-20,17.054,194.45,14.673,197.45
2002-09-21,15.641,198.05,14.967,199.05
2002-09-22,17.579,198.25,13.5,207.65
2002-09-23,16.38,200.85,16.38,200.85
2002-09-24,17.299,201.25,13.851,205.25
2002-09-25,16.609,199.85,10.152,229.85
2002-09-26,17.922,198.65,16.402,199.45
2002-09-27,16.392,197.85,16.392,197.85
2002-09-28,17.164,195.45,15.947,199.45
2002-09-29,16.529,197.65,16.529,197.65
2002-09-30,17.802,197.65,13.33,205.45
2002-10-01,16.49,195.85,16.49,195.85
2002-10-02,17.33,193.65,17.33,193.65
2002-10-03,16.211,193.85,14.841,199.65
2002-10-04,17.686,189.45,17.202,190.05
2002-10-05,17.011,192.25,17.011,192.25
2002-10-06,16.753,192.05,15.855,194.45
2002-10-07,18.046,192.25,15.753,195.25
2002-10-08,17.265,189.65,17.265,189.65
2002-10-09,17.808,189.05,16.231,191.65
2002-10-10,17.13,188.25,17.13,188.25
2002-10-11,17.241,189.45,17.241,189.45
2002-10-12,14.938,202.05,,
2002-10-13,17.593,193.45,17.021,194.45
2002-10-14,17.602,193.85,14.538,200.05
2002-10-15,18.055,195.25,16.844,197.05
2002-10-16,16.819,193.45,16.819,193.45
2002-10-17,16.959,195.25,16.959,195.25
2002-10-19,17.805,195.45,16.426,196.25
2002-10-20,18.041,191.45,18.041,191.45
2002-10-21,18.171,193.45,15.636,199.45
2002-10-22,18.502,193.45,17.316,193.65
2002-10-23,18.128,194.25,16.624,195.25
